SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539921,SEIL        ,B ,Q,104.00,104.00,104.00,104.00,104.00,104.00,2,100,10400.00,
539938,MIL         ,X ,Q,101.10,101.10,101.00,101.00,101.00,101.00,2,10,1010.00,
539939,YASHCHEM    ,B ,Q,93.70,99.05,90.00,95.95,95.95,94.55,54,9959,944894.00,
539940,MAXVIL      ,B ,Q,40.75,41.40,40.45,41.00,40.55,40.70,37,1463,60116.00,
539944,RXXX1SR2G   ,F ,Q,12.00,12.00,11.94,11.94,11.94,11.84,4,5500,65850.00,
539956,TAALENT     ,X ,Q,276.10,276.10,271.00,271.00,271.00,275.10,10,722,199292.00,
539957,MGL         ,A ,Q,845.00,863.75,841.55,855.85,855.85,845.45,600,47258,40003414.00,
539962,QFSL        ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,12,15647,2972.00,
539978,QUESS       ,A ,Q,664.95,673.95,655.05,666.40,666.00,654.25,254,1978,1311536.00,
539979,DIGJAMLTD   ,T ,Q,3.18,3.19,3.04,3.10,3.15,3.20,28,12737,39282.00,
539980,ICICIMCAP   ,B ,Q,62.96,62.96,62.96,62.96,62.96,62.53,1,7,440.00,
539981,MAXINDIA    ,A ,Q,64.95,67.50,64.60,66.20,65.95,65.35,73,4642,307519.00,
539984,HUIL        ,X ,Q,611.00,611.00,554.10,607.00,610.00,582.40,11,144,81251.00,
539986,COMSYN      ,B ,Q,46.95,52.00,46.95,50.15,52.00,46.85,28,12120,586515.00,
539992,LLOYDSTEEL  ,B ,Q,0.64,0.66,0.62,0.66,0.65,0.64,160,188736,120852.00,
540005,LTI         ,A ,Q,1801.95,1827.00,1760.05,1789.60,1789.60,1805.15,2202,7494,13477039.00,
540006,EASTWEST    ,X ,Q,127.50,127.60,119.75,127.20,119.75,127.00,47,4129,519164.00,
